,en,ja,zh,zh-TW
ui_label.ok,OK,OK,OK,OK
ui_label.cancel,Cancel,キャンセル,取消,取消
ui_label.close,Close,閉じる,关闭,關閉
ui_label.finished,Finished,完了,,
ui_label.anchor,Anchor,アンカー,,
ui_label.search,Search,検索,,
ui_label.editable,Editable,編集エリア,,
ui_label.embed_comment,"Embed Comment",埋め込みコメント入力欄,,
ui_label.remove_this_module,"Remove",削除する,,
ui_label.show_readme,"Show Description",説明を読む,,
ui_label.hide_readme,"Hide Description",説明を隠す,,
ui_label.show_advanced_setting,"Show Advanced",詳細設定を表示する,,
ui_label.hide_advanced_setting,"Hide Advanced",詳細設定を隠す,,
ui_label.drop_a_module_here,"Drop a module here",ここにモジュールをドラッグしてください,,
ui_label.dblclick_here_and_add_array_element,"Double click here to add array element",ここをダブルクリックして配列要素を追加してください,,
ui_message.this_module_has_no_options,"This module has no options.","このモジュールにはオプションが定義されていません。",,
ui_message.sending_data,"Sending data...","データを送信しています...",,
ui_message.updating_instance,"Updating instance...","インスタンス情報を更新しています...",,
ui_message.confirm_error,"There is any input errors. Please confirm.","入力エラーがあります。確認してください。",,
ui_message.save_completed,"Saving is complete.","保存を完了しました。",,
system_module_label.root,Root,ルート,,
system_module_label.unknown_module,Unknown Module,不明なモジュール,,
system_module_label.image,Image,画像,,
